Case ID,Activity,Complete Timestamp,Resource,(case)_aMOUNT_REQ,concept:name
5,a4,2011-10-13 17:12:01,11122,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-13 17:14:13,11122,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-13 17:14:26,11122,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-15 15:17:31,10913,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-15 16:56:14,10913,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-17 13:32:51,,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-17 14:28:36,,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-18 16:46:24,10889,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-18 17:46:34,11002,15000,W_Nabellen incomplete dossiers
5,a3,2011-10-19 08:53:21,10972,15000,W_Valideren aanvraag
5,a4,2011-10-19 09:17:01,,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-19 09:24:19,,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-20 09:30:32,11049,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-24 15:24:55,11121,15000,W_Nabellen incomplete dossiers
5,a4,2011-10-26 08:12:38,,15000,W_Nabellen incomplete dossiers
5,a3,2011-10-27 09:18:01,10972,15000,W_Valideren aanvraag
6,a1,2011-10-01 13:55:31,10912,15000,W_Completeren aanvraag
6,a1,2011-10-01 15:15:12,11203,15000,W_Completeren aanvraag
6,a1,2011-10-01 15:31:19,11203,15000,W_Completeren aanvraag
6,a1,2011-10-01 15:40:12,11203,15000,W_Completeren aanvraag
6,a2,2011-10-01 15:48:39,11203,15000,W_Nabellen offertes
6,a2,2011-10-08 16:20:20,10913,15000,W_Nabellen offertes
6,a2,2011-10-10 20:49:26,,15000,W_Nabellen offertes
6,a2,2011-10-11 10:47:04,,15000,W_Nabellen offertes
6,a2,2011-10-11 19:55:07,10863,15000,W_Nabellen offertes
6,a2,2011-10-12 15:37:20,11180,15000,W_Nabellen offertes
6,a2,2011-10-13 18:35:43,11180,15000,W_Nabellen offertes
6,a2,2011-10-14 10:21:10,,15000,W_Nabellen offertes
6,a3,2011-10-19 13:20:05,10809,15000,W_Valideren aanvraag
6,a4,2011-10-19 13:32:57,,15000,W_Nabellen incomplete dossiers
6,a4,2011-10-19 13:36:44,,15000,W_Nabellen incomplete dossiers
6,a4,2011-10-19 19:11:47,11122,15000,W_Nabellen incomplete dossiers
6,a4,2011-10-20 08:10:36,,15000,W_Nabellen incomplete dossiers
6,a3,2011-10-20 10:08:56,10972,15000,W_Valideren aanvraag
6,a4,2011-10-20 10:27:48,11169,15000,W_Nabellen incomplete dossiers
6,a4,2011-10-20 10:45:06,,15000,W_Nabellen incomplete dossiers
6,a3,2011-10-20 12:00:47,10972,15000,W_Valideren aanvraag
6,a4,2011-10-20 12:32:33,11169,15000,W_Nabellen incomplete dossiers
6,a4,2011-10-20 13:52:22,10972,15000,W_Nabellen incomplete dossiers
6,a4,2011-10-20 16:25:42,11049,15000,W_Nabellen incomplete dossiers
6,a3,2011-10-21 06:15:05,10972,15000,W_Valideren aanvraag
6,a3,2011-10-21 09:05:10,10809,15000,W_Valideren aanvraag
6,a3,2011-10-21 09:08:21,10972,15000,W_Valideren aanvraag
7,a1,2011-10-01 15:40:09,11019,15000,W_Completeren aanvraag
7,a1,2011-10-01 15:55:45,11203,15000,W_Completeren aanvraag
7,a1,2011-10-01 16:05:28,11203,15000,W_Completeren aanvraag
7,a2,2011-10-04 12:59:22,10982,15000,W_Nabellen offertes
7,a2,2011-10-10 13:34:00,10899,15000,W_Nabellen offertes
7,a3,2011-10-13 10:49:09,10138,15000,W_Valideren aanvraag
7,a4,2011-10-13 11:03:37,,15000,W_Nabellen incomplete dossiers
7,a4,2011-10-13 11:06:33,,15000,W_Nabellen incomplete dossiers
7,a4,2011-10-13 11:08:21,,15000,W_Nabellen incomplete dossiers
7,a4,2011-10-13 11:36:55,11169,15000,W_Nabellen incomplete dossiers
7,a4,2011-10-13 12:16:30,,15000,W_Nabellen incomplete dossiers
7,a4,2011-10-18 10:20:38,,15000,W_Nabellen incomplete dossiers
7,a3,2011-10-18 12:01:37,10809,15000,W_Valideren aanvraag
8,a1,2011-10-01 15:27:27,11000,10000,W_Completeren aanvraag
8,a1,2011-10-01 15:42:01,,10000,W_Completeren aanvraag
8,a1,2011-10-01 15:56:43,11000,10000,W_Completeren aanvraag
8,a2,2011-10-01 16:00:21,11000,10000,W_Nabellen offertes
8,a2,2011-10-08 15:32:48,11000,10000,W_Nabellen offertes
8,a2,2011-10-11 10:19:14,,10000,W_Nabellen offertes
8,a3,2011-10-13 13:12:26,10609,10000,W_Valideren aanvraag
8,a3,2011-10-13 15:04:19,10629,10000,W_Valideren aanvraag
8,a4,2011-10-13 20:01:47,10939,10000,W_Nabellen incomplete dossiers
8,a4,2011-10-14 10:06:41,11019,10000,W_Nabellen incomplete dossiers
8,a4,2011-10-14 13:19:58,,10000,W_Nabellen incomplete dossiers
8,a4,2011-10-14 13:37:05,,10000,W_Nabellen incomplete dossiers
8,a4,2011-10-14 14:05:18,11000,10000,W_Nabellen incomplete dossiers
8,a4,2011-10-14 15:49:18,,10000,W_Nabellen incomplete dossiers
8,a3,2011-10-14 16:22:55,10629,10000,W_Valideren aanvraag
9,a1,2011-10-01 15:34:03,11000,10000,W_Completeren aanvraag
9,a1,2011-10-01 16:50:03,,10000,W_Completeren aanvraag
9,a2,2011-10-07 12:40:20,10899,10000,W_Nabellen offertes
9,a3,2011-10-11 10:39:37,10138,10000,W_Valideren aanvraag
10,a1,2011-10-01 16:01:45,11019,32000,W_Completeren aanvraag
10,a2,2011-10-08 12:34:58,,32000,W_Nabellen offertes
10,a2,2011-10-10 19:52:09,11119,32000,W_Nabellen offertes
10,a2,2011-10-11 11:01:39,11049,32000,W_Nabellen offertes
10,a3,2011-10-14 15:41:11,10972,32000,W_Valideren aanvraag
11,a1,2011-10-03 09:19:46,,5000,W_Completeren aanvraag
11,a1,2011-10-03 14:36:50,,5000,W_Completeren aanvraag
11,a1,2011-10-04 10:01:30,,5000,W_Completeren aanvraag
11,a1,2011-10-04 13:41:55,11169,5000,W_Completeren aanvraag
11,a1,2011-10-04 17:15:04,11121,5000,W_Completeren aanvraag
11,a1,2011-10-04 17:15:24,11121,5000,W_Completeren aanvraag
11,a1,2011-10-04 17:19:49,11122,5000,W_Completeren aanvraag
11,a1,2011-10-04 17:37:29,11122,5000,W_Completeren aanvraag
11,a2,2011-10-11 20:42:59,10982,5000,W_Nabellen offertes
11,a2,2011-10-12 16:47:33,11180,5000,W_Nabellen offertes
11,a2,2011-10-13 18:50:05,10982,5000,W_Nabellen offertes
11,a2,2011-10-17 11:29:16,11049,5000,W_Nabellen offertes
11,a3,2011-10-19 13:25:05,10609,5000,W_Valideren aanvraag
11,a4,2011-10-19 14:41:13,11189,5000,W_Nabellen incomplete dossiers
11,a4,2011-10-19 19:37:43,11122,5000,W_Nabellen incomplete dossiers
11,a4,2011-10-20 09:29:54,11049,5000,W_Nabellen incomplete dossiers
11,a4,2011-10-21 18:57:41,,5000,W_Nabellen incomplete dossiers
11,a4,2011-10-24 10:35:43,11121,5000,W_Nabellen incomplete dossiers
11,a4,2011-10-27 14:09:53,11049,5000,W_Nabellen incomplete dossiers
11,a4,2011-10-28 07:50:44,,5000,W_Nabellen incomplete dossiers
11,a3,2011-10-28 09:50:08,10609,5000,W_Valideren aanvraag
11,a4,2011-10-28 11:54:32,10861,5000,W_Nabellen incomplete dossiers
11,a4,2011-10-28 12:35:25,11002,5000,W_Nabellen incomplete dossiers
11,a3,2011-10-31 09:38:48,10609,5000,W_Valideren aanvraag
11,a3,2011-10-31 11:18:09,10609,5000,W_Valideren aanvraag
11,a4,2011-10-31 15:36:47,,5000,W_Nabellen incomplete dossiers
11,a4,2011-10-31 20:37:23,,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-01 14:19:14,11169,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-01 15:13:12,11169,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-03 08:38:04,11049,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-03 16:28:08,11169,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-03 17:15:31,11002,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-05 11:18:12,11002,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-05 14:46:22,,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-07 09:33:11,10809,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-07 14:39:22,,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-07 15:09:55,,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-08 20:37:59,10228,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-10 11:20:04,11049,5000,W_Nabellen incomplete dossiers
11,a4,2011-11-11 09:30:59,11049,5000,W_Nabellen incomplete dossiers
11,a3,2011-11-11 10:25:50,10609,5000,W_Valideren aanvraag
11,a3,2011-11-15 12:28:14,10138,5000,W_Valideren aanvraag
11,a3,2011-11-15 12:50:36,10609,5000,W_Valideren aanvraag
12,a1,2011-10-03 09:26:12,,5000,W_Completeren aanvraag
12,a2,2011-10-03 09:31:22,,5000,W_Nabellen offertes
12,a2,2011-10-03 09:32:18,,5000,W_Nabellen offertes
12,a2,2011-10-07 12:37:08,10789,5000,W_Nabellen offertes
12,a3,2011-10-07 17:31:10,10972,5000,W_Valideren aanvraag
12,a3,2011-10-10 14:22:43,10609,5000,W_Valideren aanvraag
13,a1,2011-10-03 09:29:52,11180,6000,W_Completeren aanvraag
13,a1,2011-10-03 14:53:22,,6000,W_Completeren aanvraag
13,a2,2011-10-03 14:58:24,,6000,W_Nabellen offertes
13,a2,2011-10-10 17:48:08,11119,6000,W_Nabellen offertes
13,a2,2011-10-14 10:08:49,,6000,W_Nabellen offertes
13,a3,2011-10-18 10:17:36,10609,6000,W_Valideren aanvraag
13,a4,2011-10-18 10:55:09,10861,6000,W_Nabellen incomplete dossiers
13,a3,2011-10-18 11:18:19,10609,6000,W_Valideren aanvraag
13,a3,2011-10-18 11:25:11,10609,6000,W_Valideren aanvraag
14,a1,2011-10-03 09:52:40,11180,7000,W_Completeren aanvraag
14,a2,2011-10-03 09:53:29,11180,7000,W_Nabellen offertes
14,a2,2011-10-03 09:54:32,11180,7000,W_Nabellen offertes
14,a2,2011-10-07 13:23:34,10899,7000,W_Nabellen offertes
14,a3,2011-10-11 09:15:48,10609,7000,W_Valideren aanvraag
15,a1,2011-10-03 09:57:34,,15000,W_Completeren aanvraag
15,a2,2011-10-03 10:04:14,,15000,W_Nabellen offertes
15,a2,2011-10-10 14:01:46,10899,15000,W_Nabellen offertes
15,a3,2011-10-12 08:58:20,10138,15000,W_Valideren aanvraag
15,a3,2011-10-13 09:36:24,10138,15000,W_Valideren aanvraag
16,a1,2011-10-03 10:11:17,11180,15500,W_Completeren aanvraag
16,a1,2011-10-03 13:15:40,11201,15500,W_Completeren aanvraag
16,a1,2011-10-03 13:19:48,11201,15500,W_Completeren aanvraag
16,a2,2011-10-10 10:17:49,11049,15500,W_Nabellen offertes
16,a3,2011-10-11 14:57:09,10629,15500,W_Valideren aanvraag
17,a1,2011-10-03 10:22:08,,5000,W_Completeren aanvraag
17,a2,2011-10-10 13:52:48,10899,5000,W_Nabellen offertes
17,a3,2011-10-12 10:52:13,10138,5000,W_Valideren aanvraag
18,a1,2011-10-03 10:17:33,11180,5000,W_Completeren aanvraag
18,a1,2011-10-03 10:21:43,11180,5000,W_Completeren aanvraag
18,a2,2011-10-10 16:28:12,,5000,W_Nabellen offertes
18,a2,2011-10-18 11:41:06,,5000,W_Nabellen offertes
18,a2,2011-10-19 18:47:17,11119,5000,W_Nabellen offertes
18,a2,2011-10-20 09:11:50,,5000,W_Nabellen offertes
18,a3,2011-10-26 08:07:39,10609,5000,W_Valideren aanvraag
19,a1,2011-10-03 10:28:37,,15500,W_Completeren aanvraag
19,a1,2011-10-03 14:41:00,11201,15500,W_Completeren aanvraag
19,a1,2011-10-03 15:15:36,10889,15500,W_Completeren aanvraag
19,a1,2011-10-03 15:18:02,10889,15500,W_Completeren aanvraag
19,a1,2011-10-04 19:38:50,10909,15500,W_Completeren aanvraag
19,a1,2011-10-04 19:40:49,10909,15500,W_Completeren aanvraag
19,a2,2011-10-04 19:41:00,10909,15500,W_Nabellen offertes
19,a2,2011-10-04 19:42:29,10909,15500,W_Nabellen offertes
19,a2,2011-10-11 10:01:13,,15500,W_Nabellen offertes
19,a3,2011-10-14 09:56:18,10138,15500,W_Valideren aanvraag
19,a3,2011-10-14 10:05:57,10138,15500,W_Valideren aanvraag
20,a5,2011-10-03 09:31:47,11001,50000,W_Afhandelen leads
20,a1,2011-10-03 12:54:18,11180,50000,W_Completeren aanvraag
20,a1,2011-10-03 14:00:48,11201,50000,W_Completeren aanvraag
20,a2,2011-10-03 14:02:13,11201,50000,W_Nabellen offertes
20,a2,2011-10-10 18:19:22,11119,50000,W_Nabellen offertes
20,a2,2011-10-10 18:22:25,11119,50000,W_Nabellen offertes
20,a2,2011-10-11 16:20:52,10889,50000,W_Nabellen offertes
20,a2,2011-10-19 20:01:09,11122,50000,W_Nabellen offertes
20,a2,2011-10-24 11:28:27,,50000,W_Nabellen offertes
20,a3,2011-10-28 12:02:13,10138,50000,W_Valideren aanvraag
20,a3,2011-10-28 12:19:46,10138,50000,W_Valideren aanvraag
20,a4,2011-10-28 15:50:05,10982,50000,W_Nabellen incomplete dossiers
20,a4,2011-10-28 16:27:27,11169,50000,W_Nabellen incomplete dossiers
20,a4,2011-10-28 16:33:57,11169,50000,W_Nabellen incomplete dossiers
20,a4,2011-10-28 19:51:35,10913,50000,W_Nabellen incomplete dossiers
20,a4,2011-11-03 08:54:48,11049,50000,W_Nabellen incomplete dossiers
20,a4,2011-11-04 11:46:12,10789,50000,W_Nabellen incomplete dossiers
20,a3,2011-11-04 13:09:47,10138,50000,W_Valideren aanvraag
21,a1,2011-10-03 10:43:52,,5500,W_Completeren aanvraag
21,a2,2011-10-03 10:52:28,,5500,W_Nabellen offertes
21,a2,2011-10-06 11:14:33,10939,5500,W_Nabellen offertes
21,a2,2011-10-10 13:51:23,10899,5500,W_Nabellen offertes
21,a3,2011-10-12 15:54:05,10809,5500,W_Valideren aanvraag
21,a3,2011-10-12 16:01:06,10809,5500,W_Valideren aanvraag
22,a1,2011-10-03 10:29:11,,33000,W_Completeren aanvraag
22,a1,2011-10-03 10:58:03,11180,33000,W_Completeren aanvraag
22,a1,2011-10-03 15:29:08,11180,33000,W_Completeren aanvraag
22,a2,2011-10-03 15:30:11,11180,33000,W_Nabellen offertes
22,a2,2011-10-03 15:31:48,11180,33000,W_Nabellen offertes
22,a2,2011-10-10 18:28:06,11119,33000,W_Nabellen offertes
22,a2,2011-10-12 16:13:02,11180,33000,W_Nabellen offertes
22,a2,2011-10-21 12:32:29,,33000,W_Nabellen offertes
22,a2,2011-10-21 20:25:44,10609,33000,W_Nabellen offertes
22,a2,2011-10-24 16:13:24,11180,33000,W_Nabellen offertes
22,a2,2011-10-26 10:23:29,,33000,W_Nabellen offertes
22,a3,2011-10-31 13:19:02,10629,33000,W_Valideren aanvraag
22,a4,2011-10-31 17:17:03,10889,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-01 11:19:59,11169,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-01 16:40:13,11169,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-01 19:00:06,10913,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-03 08:49:14,11049,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-07 08:57:43,10809,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-09 10:38:12,11049,33000,W_Nabellen incomplete dossiers
22,a3,2011-11-09 12:18:51,10629,33000,W_Valideren aanvraag
22,a4,2011-11-09 13:22:22,11169,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-09 13:22:39,11169,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-09 18:16:05,11119,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-10 11:31:22,11049,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-10 20:50:24,11169,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-12 10:33:10,10913,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-17 15:34:29,11049,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-18 09:29:30,11169,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-18 15:40:10,,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-18 16:25:37,,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-18 20:46:59,11122,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-19 10:40:38,10861,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-19 13:58:56,10861,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-21 09:33:07,10629,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-21 10:01:50,10910,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-21 20:44:46,10929,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-22 11:27:47,,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-22 14:49:49,11189,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-24 10:48:23,11049,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-25 14:16:47,10910,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-26 10:15:39,11000,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-26 14:34:49,11000,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-28 10:47:59,10931,33000,W_Nabellen incomplete dossiers
22,a4,2011-11-28 15:33:09,11259,33000,W_Nabellen incomplete dossiers
22,a3,2011-11-29 09:27:33,10972,33000,W_Valideren aanvraag
23,a1,2011-10-03 10:44:53,,7000,W_Completeren aanvraag
23,a1,2011-10-03 18:31:26,11119,7000,W_Completeren aanvraag
23,a1,2011-10-03 18:51:15,11119,7000,W_Completeren aanvraag
23,a2,2011-10-10 13:48:25,10899,7000,W_Nabellen offertes
23,a3,2011-10-12 12:18:36,10138,7000,W_Valideren aanvraag
23,a4,2011-10-12 12:36:15,,7000,W_Nabellen incomplete dossiers
23,a4,2011-10-12 13:25:38,,7000,W_Nabellen incomplete dossiers
23,a4,2011-10-13 09:16:14,11049,7000,W_Nabellen incomplete dossiers
23,a4,2011-10-13 13:36:36,11049,7000,W_Nabellen incomplete dossiers
23,a3,2011-10-13 14:11:33,10138,7000,W_Valideren aanvraag
23,a4,2011-10-13 14:23:57,,7000,W_Nabellen incomplete dossiers
23,a4,2011-10-13 14:27:01,,7000,W_Nabellen incomplete dossiers
23,a4,2011-10-13 19:06:11,10939,7000,W_Nabellen incomplete dossiers
23,a3,2011-10-14 08:30:29,10138,7000,W_Valideren aanvraag
24,a5,2011-10-03 09:21:51,10889,50000,W_Afhandelen leads
24,a1,2011-10-03 12:06:55,,50000,W_Completeren aanvraag
24,a1,2011-10-04 11:13:24,11169,50000,W_Completeren aanvraag
24,a1,2011-10-04 12:25:27,11169,50000,W_Completeren aanvraag
24,a2,2011-10-05 17:13:11,11119,50000,W_Nabellen offertes
24,a2,2011-10-11 18:12:53,11119,50000,W_Nabellen offertes
24,a2,2011-10-11 18:56:04,10982,50000,W_Nabellen offertes
24,a2,2011-10-24 09:08:09,11121,50000,W_Nabellen offertes
24,a2,2011-10-24 09:12:59,11121,50000,W_Nabellen offertes
24,a2,2011-10-24 09:14:11,11121,50000,W_Nabellen offertes
24,a2,2011-10-25 18:16:43,10909,50000,W_Nabellen offertes
24,a2,2011-10-25 19:05:07,10909,50000,W_Nabellen offertes
24,a2,2011-10-27 10:53:54,11049,50000,W_Nabellen offertes
24,a3,2011-10-31 14:34:00,10629,50000,W_Valideren aanvraag
25,a1,2011-10-03 11:00:25,,30000,W_Completeren aanvraag
25,a1,2011-10-03 11:35:29,10913,30000,W_Completeren aanvraag
25,a2,2011-10-10 10:41:35,11049,30000,W_Nabellen offertes
25,a3,2011-10-11 14:01:53,10972,30000,W_Valideren aanvraag
26,a5,2011-10-03 09:46:40,,5800,W_Afhandelen leads
26,a1,2011-10-03 09:54:39,,5800,W_Completeren aanvraag
26,a2,2011-10-10 12:52:19,10899,5800,W_Nabellen offertes
26,a3,2011-10-12 17:38:24,,5800,W_Valideren aanvraag
26,a3,2011-10-13 10:26:10,10609,5800,W_Valideren aanvraag
27,a1,2011-10-03 11:02:32,,7000,W_Completeren aanvraag
27,a1,2011-10-03 11:11:10,,7000,W_Completeren aanvraag
27,a1,2011-10-03 12:08:02,11001,7000,W_Completeren aanvraag
27,a1,2011-10-03 15:15:36,,7000,W_Completeren aanvraag
27,a1,2011-10-03 15:31:56,11201,7000,W_Completeren aanvraag
27,a2,2011-10-05 20:54:18,10939,7000,W_Nabellen offertes
27,a2,2011-10-06 12:26:42,11169,7000,W_Nabellen offertes
27,a2,2011-10-10 13:25:03,10899,7000,W_Nabellen offertes
27,a3,2011-10-13 09:35:30,10609,7000,W_Valideren aanvraag
28,a1,2011-10-03 14:20:03,10889,26000,W_Completeren aanvraag
28,a1,2011-10-04 09:54:41,,26000,W_Completeren aanvraag
28,a1,2011-10-04 13:38:58,11169,26000,W_Completeren aanvraag
28,a1,2011-10-04 16:07:00,11001,26000,W_Completeren aanvraag
28,a1,2011-10-04 18:22:01,10982,26000,W_Completeren aanvraag
28,a1,2011-10-05 17:59:07,11181,26000,W_Completeren aanvraag
28,a1,2011-10-06 09:52:54,11201,26000,W_Completeren aanvraag
28,a1,2011-10-06 09:55:55,,26000,W_Completeren aanvraag
28,a1,2011-10-06 20:48:48,11180,26000,W_Completeren aanvraag
28,a1,2011-10-07 18:29:51,11181,26000,W_Completeren aanvraag
28,a1,2011-10-08 10:47:56,10913,26000,W_Completeren aanvraag
28,a1,2011-10-08 14:34:40,11181,26000,W_Completeren aanvraag
28,a1,2011-10-10 12:12:11,11189,26000,W_Completeren aanvraag
28,a2,2011-10-17 18:30:31,11119,26000,W_Nabellen offertes
28,a2,2011-10-19 10:45:29,11189,26000,W_Nabellen offertes
28,a2,2011-10-21 09:33:55,11049,26000,W_Nabellen offertes
28,a3,2011-10-27 10:01:40,10972,26000,W_Valideren aanvraag
29,a1,2011-10-03 12:27:17,,7500,W_Completeren aanvraag
29,a2,2011-10-03 12:37:58,,7500,W_Nabellen offertes
29,a2,2011-10-04 12:56:05,10982,7500,W_Nabellen offertes
29,a2,2011-10-06 09:54:36,,7500,W_Nabellen offertes
29,a3,2011-10-10 09:31:57,10609,7500,W_Valideren aanvraag
29,a4,2011-10-10 09:43:17,10912,7500,W_Nabellen incomplete dossiers
29,a4,2011-10-10 12:39:52,10912,7500,W_Nabellen incomplete dossiers
29,a3,2011-10-10 13:22:16,10609,7500,W_Valideren aanvraag
29,a3,2011-10-11 15:22:22,,7500,W_Valideren aanvraag
29,a3,2011-10-11 15:25:50,,7500,W_Valideren aanvraag
29,a3,2011-10-11 15:28:16,,7500,W_Valideren aanvraag
29,a3,2011-10-11 16:43:18,10609,7500,W_Valideren aanvraag
30,a1,2011-10-03 12:19:32,10809,25000,W_Completeren aanvraag
30,a2,2011-10-03 12:24:40,10809,25000,W_Nabellen offertes
30,a3,2011-10-03 12:25:01,10809,25000,W_Valideren aanvraag
30,a3,2011-10-03 12:58:35,10809,25000,W_Valideren aanvraag
30,a4,2011-10-03 15:07:37,10863,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-06 09:25:59,11049,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-07 15:14:25,11009,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-08 11:08:16,11002,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-10 09:54:51,10912,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-11 11:13:45,10889,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-11 16:55:54,10982,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-11 17:52:41,10982,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-12 15:04:23,,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-13 09:26:59,11049,25000,W_Nabellen incomplete dossiers
30,a4,2011-10-17 15:39:52,,25000,W_Nabellen incomplete dossiers
30,a3,2011-10-18 10:10:42,10809,25000,W_Valideren aanvraag
31,a1,2011-10-03 14:28:07,11201,6000,W_Completeren aanvraag
31,a2,2011-10-03 14:30:21,11201,6000,W_Nabellen offertes
